#NAME?,পর
#NAME?,পর
#NAME?,পর
a,একটি
aggravating,বিরক্তিকর
aggravation,অবনতি
aggravations,অবনতি
aggregate,থোক
aggregated,রাশীকৃত
aggregately,সমষ্টিগতভাবে
aggregates,দলা
aggregating,পুঁজিত করা
aggregation,মোট পরিমাণ
aggregations,মোট পরিমাণ
aggregative,সমষ্টি - সংক্রান্ত
aggregator,সংযোগকারী
aggress,পাব্লিসিটি
aggresses,উপর চড়াও
aggressing,আক্রমণকারী
aggression,আগ্রাসন
aggressions,আগবাড়া হইয়া কলহাদি আরম্ভ করা
aggressive,আক্রমণাত্মক
aggressively,সহিংস
aggressiveness,হামলাদারিতা
aggressor,পূর্বপক্ষ
aggressors,যে ব্যক্তি কলহাদি আরম্ভ করে
aggrieve,অত্যাচার করা
aggrieved,ক্ষতিগ্রস্থ
aggrieves,দু:খ দেত্তয়া
aggrieving,দু:খ দেত্তয়া
aggro,মারপিট
aghast,ভীত
agila,ágila
agile,চটপটে
agilities,দ্রুততা
agility,দ্রুততা
agin,অন্যভাবে
aging,পক্বতা
agings,সুপরিণতি
agio,টাকা ভাঙ্গান
agios,টাকা ভাঙ্গানর বাবদ বাটা
agiotage,সহসা বাজার গরম
agiotages,সহসা বাজার গরম
agitate,উমান
agitated,বিচলিত
agitates,আন্দোলিত করা
agitating,উত্তেজক
agitation,চাগাড়
agitational,কীভাবে নোবেল
agitations,চাগাড়
agitative,আন্দোলনের
agitator,প্রচারক
agitators,আন্দোলক
agitprop,বিক্ষোভ
aglow,প্রদীপ্ত
agnail,আঙুলহাড়া
agnails,হস্তাঙ্গুলির চামড়ার যে ছাল ত্তঠে
agnate,একজাতীয়
agnates,সময় দেখা যায়
agnation,জ্ঞাতি
agnostic,অজ্ঞানবাদী
agnostical,অজ্ঞেয়বাদ
agnosticism,অজ্ঞেয়বাদ
agnostics,ত্রিভুজের পোস্ট
ago,আগে
agog,গমনোদ্যত
agoges,উৎসাহী
agoing,আগে
agon,অ্যাগনকে
agone,ওয়ারফেয়ার
agonic,অকোণিক
agonies,অন্তর্বেদনা
agonise,পীড়ন করা
agonised,আতুর
agonises,নিদারূণ মানসিক যন্ত্রণাভোগ করা
agonising,পীড়াদায়ক
agonisingly,মর্মান্তিকভাবে
agonists,অ্যাগোনিস্ট
agonize,পীড়ন করা
agonized,আতুর
agonizes,নিদারুণ যন্ত্রণা ভোগ
agonizing,পীড়াদায়ক
agonizingly,মর্মান্তিকভাবে
agony,প্রবল দ্বন্দ্ব
agora,সভা
agorae,জনসমাবেশ
agoraphobia,ভিতরের ভয়ের ব্যাধি
agoraphobias,শূন্য দেশের ভয়ের ব্যাধি
agoras,জনসমাবেশ
agoroth,জনসমাবেশ
agra,আগ্রা
agranulocytosis,গত
agrarian,ভূস্বামী
agrarianism,ভূমি - সংস্কার আন্দোলন
agrarians,ভূসম্পত্তির সমাংশে পুনর্বণ্টন-নীতির সমর্থক
agree,রাজি
agreeable,অমায়িক
agreeableness,প্রিভিলেজড
agreeably,প্রীতিকরভাবে
agreed,একমত
agreeing,সম্মত
agreement,চুক্তি
agreement on partnership,অংশীদারিত্বের দলিল
agreements,চুক্তি
agrees,সম্মত
agrement,খেলাধূলা
agricultural,কৃষিজাত
agricultural economy,কৃষি অর্থনীতি
agriculturalist,কৃষক
agriculturally,কৃষিতে
agriculture,কৃষি
agricultures,কৃষি
agriculturist,কৃষক
agriculturists,কৃষিবিদ্
agrimotor,ট্র্যাক্টর
agroforestry,অ্যাগ্রোফরেষ্ট্রী
agronomic,কৃষি - বিষয়ক
agronomical,কৃষি - বিষয়ক
agronomics,কৃষি - বিজ্ঞান
agronomies,চাষ-বাস
agronomist,কৃষিবিদ্
agronomists,কৃষিবিদ্
agronomy,কৃষি - বিদ্যা
aground,মাটিতে
ague,কম্পজ্বর
agued,কম্পগ্রস্ত
agues,কম্পজ্বর
ah,অই
aha,অই
ahead,এগিয়ে
ahem,হুম
ahimsa,অহিংসা
ahimsas,অহিংসা
ahistorical,দেবতার অস্তিত্ব
ahoy,হোই
ai,এআই
aid,সাহায্য
aide,সহায়তাকারী
aide-de-camp,শাসকের ব্যক্তিগত সাহায্যের জন্য নিযুক্ত কর্মচারী
aided,সাহায্য
aider,সহায়
aiders,চিকিত্সাকারী
aides,সহায়তাকারী
aiding,প্রতিপোষক
aids,এইডস রোগ
aigrette,বকপাখি
aigrettes,বকপাখি
aiguille,শৃঙ্গ
aiguilles,শিখর
ail,কষ্ট দেত্তয়া
ailed,কষ্ট দেত্তয়া
ailing,রোগী
ailment,রোগ
ailments,আময়
ails,মিথ্যাচার
aim,উদ্দেশ্য
aim at,তাকা
aimed,অভীষ্ট
aimer,লক্ষ্য
aiming,নিশানা
aimless,উদ্দেশ্যহীন
aimlessly,অকারণে
aims,লক্ষ্য
air,বায়ু
air bladder,মাছের পটকা
air marshal,বিমানবাহিনীর সেনাপতি
air raid,বিমান আক্রমণ
air strip,ধাবনপথ
air-balloon,ফানুস
air-base,বিমানঘাঁটি
air-bladder,পটকা
air-conditioned,বাতানুকুল
air-conditioner,বাতানুকুল যন্ত্র
air-force,বিমান বাহিনী
air-line,বিমানপথ
air-mail,বিমান ডাক
air-port,বিমানবন্দর
air-ways,বিমানপথ
air-worthy,নভোযোগ্য
airbase,বিমানঘাণ্টি
airbases,বিমানঘাণ্টি
airborne,বায়ুবাহিত
airbrush,এয়ারব্রাশ
airbrushing,এয়ারব্রাশিং
airbus,এয়ারবাস
airconditioned,শীতাতপ নিয়ন্ত্রিত
aircraft,বিমান
aircraftman,বিমান - সৈনিক
aircraftmen,বিমান-সৈনিক
aircraftsman,বিমান - সৈনিক
aircraftsmen,বিমান-সৈনিক
aired,সম্প্রচারিত
airer,বায়ু
aires,বায়ু
airest,বায়ু
airfare,লবন
airfares,বিমান ভাড়া
airfield,বিমানঘাঁটি
airfields,বিমানপোতের উড়ডয়নের ত্ত অবতরণের স্থান
airflows,আহসান হাবিব
airgun,এয়ারগান
airhead,মুখই হাঁড়ির
airhostess,বিমান সেবিকা
airier,বায়বীয়
airiest,বায়বীয়
airily,উড়া উড়া
airing,বায়ুসেবন
airings,বায়ুসেবন
airless,বায়ুশূন্য
airlift,বিমানপোতে বহন
airlifts,বিমানপোতে বহন
airline,এয়ারলাইন
airliner,যাত্রীবাহী বৃহত্ বিমান
airliners,বিমান
airlines,এয়ারলাইনস
airmail,বিমানবাহিত ডাক
airmails,বিমানবাহিত ডাক
airman,বৈমানিক
airmanship,বিমান - চালক
airmen,বৈমানিক
airplane,বিমান
airplanes,এ্যারোপ্লেনের
airport,বিমানবন্দর
airports,বিমানবন্দর
airpower,বায়ু শক্তি
airproof,সমাপ্তি
airpump,বায়ু নিষ্কাশন যন্ত্র
airs,চালিয়াতি
airship,আকাশযান
airships,খপোত
airspace,আকাশসীমা
airspaces,আকাশসীমা
airtight,বায়ুরোধী
airtime,এয়ারটাইম
airtransport,বিমান পরিবহন
airway,বিমান - চলাচলের পথ
airways,এয়ারওয়েজ
airwoman,নারী - বৈমানিক
airwomen,নারী-বৈমানিক
airworthiness,নভোযোগ্যতা
airworthy,নভোযোগ্য
airy,বায়বীয়
aisle,করিডোর
aisled,অলিন্দ
aisles,মিন্টু
aisling,অলিন্দ
aislings,ছাড়লেও
ait,দ্বীপ
aitch,ফিরে আসবে
aits,দ্বীপ
aizle,aizle ধকল
ajar,আধখোলা
aka,ওরফে
akhon,সেখানে
akimbo,পাছায় দুই হাত দিয়া
akin,সদৃশ
akkas,ইউটিউব
al,আল
al coran,কোরান
al-haram,আল-হারাম
al-house,আওয়ামী হাউস
al-masjid,মসজিদ
al-qaeda,আল-কায়েদা
alabaster,তৈলস্ফটিক
alabasters,স্বচ্ছপ্রায় খনিজ পদার্থবিশেষ
alack,অহো
alacrities,সজীবতা
alacrity,তত্পরতা
alae,এর উইংস
alamode,ফ্যাশান দুরস্ত
aland,এল্যান্ড
alang,উপলব্ধ
alanine,ক্ষারযুক্ত
alar,পক্ষসম্বন্ধীয়
alarm,শঙ্কা
alarmbell,বিপদ সূচক ঘন্টা
alarmclock,ঘুম ভাঙ্গানো ঘড়ি
alarmed,অধীর
alarming,ভীতিপ্রদ
alarmingly,সাংঘাতিকভাবে
alarmism,অকারণ আতঙ্কপ্রবণতা
alarmist,আতঙ্কসৃষ্টিকারী
alarmists,এক্ষেত্রে
alarms,এলার্ম
alarum,ঘণ্টাধ্বনি
alarums,ঘণ্টাধ্বনি
alary,মঞ্জুর
alas,হায়রে
alaska,অল্যাস্কা
alaskas,আলাস্কা
alastor,অ্যালাস্টর
alates,বেল্লা থেকে
alay,বলেই
alb,গির্জার কাপড়
alba,অ্যালবাম
albania,আলবেনিয়া
albatross,বৃহদাকার সামুদ্রি পক্ষিবিশেষ
albatrosses,বৃহদাকার সামুদ্রি পক্ষিবিশেষ
albedo,আল্বিডো
albeit,যদ্যপি
alberghi,হোটেল
albert,আলবার্ট
alberts,আলবার্ট
albinism,রেসিজমের অন্ধ আবেগের
albino,ধবলরোগগ্রস্ত প্রাণী
albinos,অস্বাভাবিকরকম শ্বেতচর্ম ব্যক্তি
albs,গির্জার কাপড়
album,অ্যালবাম
albumen,শস্য
albumens,ডিম্বের শ্বেতাংশ
albumin,এ্যালবুমিনের
albuminoid,প্রোটিন
albuminoids,প্রোটিন
albuminose,অ্যালুবিউমিন-যুক্ত
albuminous,অ্যালুবিউমিন - সদৃশ
albums,অ্যালবাম
alburnum,অসার কাষ্ঠ
albuterol,আল
alcazar,Alcázar
alchemic,অপরাসায়নিক
alchemical,অপরাসায়নিক
alchemies,মুখমন্ডল
alchemist,অপরাসায়নবিদ্
alchemists,অপরাসায়নবিদ্
alchemy,কিমিতি
alchol,বই পড়া
alco,লেখা পাঠাবার ঠিকানা ALCO
alcohol,এলকোহল
alcohol addiction,ব্যসন
alcoholic,মদ্যপ
alcoholic beverage,আসব
alcoholics,মদ্যপ
alcoholisation,বিদূরণ
alcoholism,মদ্যাশক্তি
alcoholisms,মদ্যাশক্তি
alcoholize,পরিস্রুত করা
alcoholized,সুরাসার মেশান
alcoholizes,সুরাসার মেশান
alcoholizing,সুরাসার মেশান
alcohols,এলকোহল
alcopop,এ্যলকো পপ
alcove,তাক
alcoves,একান্ত স্থান
aldehyde,এ্যাল্ডেহাইড
alder,ভূর্জজাতীয় বৃক্ষবিশেষ
alderman,গর্ভনর
aldermanic,পৌরমুখ্যসংক্রান্ত
aldermanries,পৌরমুখ্যের মনোনয়নকেন্দ্র
aldermanry,পৌরমুখ্যের পদ
aldermanship,পৌরসভার বিশেষ সম্মানিত সদস্যগিরি
aldermen,পৌরসভার বিশেষ সম্মানিত সদস্যবিশেষ
alders,য় নেই শীর্ষ রাজাকাররা
aldosterone,আলডেসটেরঅন
aldrin,কীটনাশকরূপে ব্যবহৃত সাদা
ale,বীয়ার
aleatoric,দৈবনির্ভর
aleatory,দৈবনির্ভর
alef,একটি A
alehouse,শৌণ্ডিকালয়
alehouses,মদের দোকান
alembic,পাতনযন্ত্র
alembicated,অতিসূক্ষ্ম
alembics,পরিস্রাবণের যন্ত্র
aler,আল
alert,সতর্ক
alerted,সতর্ক
alerter,সতর্ক
alertest,সতর্ক
alerting,সতর্ক
alertness,সতর্কতা
alerts,সঙ্কেত
ales,সীরান্বিত মদ্যবিশেষ
alewife,বীয়ারখানার মালিকানী
alexander,আলেকজান্ডার
alexanders,আলেকজান্ডার
alexandria,আলেকজান্দ্রি
alexandrine,ষড়্মাত্রিক
alexandrines,ষড়্মাত্রিক কবিতাপঙ্ক্তি
alexandrite,পাথরের প্রকার
alexandrites,পাথরের প্রকার
alexin,রক্তের তরল অংশে উপস্থিত এক ধরনের জীবাণুধ্বংসী প্রোটিন
alfalfa,ত্রিপত্রোত্পাদী বৃক্ষবিশেষ
alfalfas,ত্রিপত্রোত্পাদী বৃক্ষবিশেষ
alfresco,উন্মুক্ত স্থানে
alga,শৈবাল
algae,শেত্তলাগুলি
algebra,বীজগণিত
algebraic,বীজগাণিতিক
algebraical,বীজগাণিতিক
algebraist,বীজগাণিতিক
algebraists,বনফুলের
algebras,বীজগণিত
algeria,আলজেরিয়া
algetic,ক্ষতপূর্ণ
algiers,আলজিয়ার্স
algological,শৈবালতত্ত্বসম্পর্কিত
algorithm,এলগরিদম
algorithmic,আলগোরিদিমিক
algorithms,আলগোরিদিম
ali,আলি
alias,ওরফে
aliased,ওরফে
aliases,alias লেখা
aliasing,অ্যালায়েসিং
alibi,অন্যত্রস্থিতি
alibied,অজুহাত
alibies,অজুহাত
alibiing,অজুহাত
alibis,অপরাধের অনুষ্ঠানকালে অন্যত্র থাকার অজুহাতে রেহাই পাইবার দাবি
alien,পরক
alienability,এখানে পশ্চিমা
alienable,হস্তান্তরযোগ্য
alienage,পারক্য
alienages,পারক্য
alienate,উদাসীন
alienated,বিজাতকৃত
alienates,স্বভাববহিভুত করা
alienating,স্বভাববহিভুত করা
alienation,উন্মত্ততা
alienations,বিচ্ছিন্নতাবোধ
alienator,বিছিন্ন করা
alienism,মনোচিকিত্সা
alienist,মনোচিকিত্সক
alienists,মানসিক রোগের বিশেষজ্ঞ-চিকিত্সক
aliens,বিদেশী ব্যক্তি
alif,আলিফ
aliform,পক্ষীর পক্ষাকার
alight,নামা
alighted,নামা
alighting,অবতরণ
alights,আঘাত নেমে
align,শ্রেণীবদ্ধ করা
aligned,সারিবদ্ধ
aligner,সুচী
aligning,সমতলতা
alignment,শ্রেণীবিন্যাস
alignments,সমান করা
aligns,প্রান্তিক
alike,একইভাবে
aliment,পুষ্টি
alimentary,পৌষ্টিক
alimentary canal,খাদ্যনালী
alimentary tract,খাদ্যনালী
alimentation,পুষ্টিবিধান
alimentations,খাদ্যসরবরাহ
aliments,খাদ্য
alimonies,খোরপোশ
alimony,ভরণপোষণ
aline,সারি দিয়া সাজান
alined,শ্রেণীবদ্ধ করা
alines,শ্রেণীবদ্ধ করা
alining,শ্রেণীবদ্ধ করা
aliquot,ভাগশেষ না রাখিয়া সমাংশে ভাগ করিতে সক্ষম
alit,আপতিত
alive,জীবিত
aliveness,সজীবতা
alkalescence,ক্ষার - মাত্রা
alkalescent,ঈষত্ ক্ষারধর্মী
alkali,ক্ষার
alkalie-metals,ক্ষারীয়-ধাতু
alkalies,ক্ষার
alkalify,ক্ষারীভবন করা
alkalimetry,অ্যালকালিমিতি
alkaline,ক্ষারীয়
alkalinization,দিয়ে নিত্য
alkalis,ক্ষার
alkaloid,উপক্ষার
alkaloids,উপক্ষার
alki,ক্রমে ক্রমে
alkyne,অ্যালকাইনের
all,সব
all agog,উৎসুক
all along,সব সময়
all and sundry,সকলেই
all at once,হঠাৎ
all attention,অতি মনোযোগের সঙ্গে
all but,প্রায়
all ears,গভীর মনোযোগী
all in all,সর্বেসর্বা
all in one to,সমান
all in the day's work,স্বাভাবিক
all moonshine,বাজে
all of (on) a sudden,হঠাৎ
all one,একই কথা
all one to,সমান
all other,অপরাপর
all out efforts,যথাসম্ভব
all over,সর্বাঙ্গে
all over the body,সর্বাঙ্গে
all over with,সবশেষ হওয়া
all right!,আচ্ছা বেশ!
all sides,চতুষ্পাশ্র্ব
all the better,আরও ভাল
all the go,জনপ্রিয়
all the same,তত্সত্ত্বেত্ত
all the while,সারাক্ষণ
all the year round,সারা বছর ধরে
all together,একসঙ্গে
all-around,বহুপাক্ষিক
all-embracing,সার্বজনীন
all-enduring,সর্বংসহ
all-good,সর্বগুণান্বিত
all-metal,তাত্পর্যপূর্ণ
all-night,রাত্রিকালীন
all-pervading,চিরায়ত
all-powerful,সর্বশক্তিমান
all-round,বহুপাক্ষিক
all-rounder,অলরাউন্ডার
all-time,অভূতপূর্ব
all-up,মোট
allah,আল্লাহ
allay,কমান
allayed,নির্বাপিত
allayer,নির্বাপক
allayers,নির্বাপক
allaying,নির্বাপক
allays,দমন করা
allees,Allées
allegation,অভিযোগ
allegations,অভিযোগ
allege,সপক্ষে যুক্তি দেখান
alleged,তথাকথিত
allegedly,যেন
alleges,অভিযোগ
allegiance,আনুগত্য
allegiances,আনুগত্য
allegiant,আনুগত্যশীল
alleging,অভিযোগের
allegoric,অপ্রস্তুতপ্রশংসা দ্বারা বর্ণিত
allegorical,রূপকধর্মী
allegories,রুপকবর্ণনা
allegory,রূপক
allele,এ্যালিল
alleles,অ্যালিল
allelopathy,অ্যালেলোপ্যাথি
alleluia,শ্বরের যশোকীর্তনমূলক সঙ্গীতবিশেষ
alleluias,শ্বরের যশোকীর্তনমূলক সঙ্গীতবিশেষ
allen,অ্যালেন
aller,সব
allergen,অতিপ্রতিক্রিয়া সৃষ্টিকারী বস্তু
allergenicity,সমীকরণ
allergic,বিরাগসম্পন্ন
allergies,এলার্জি
allergist,এলার্জি বিশেষজ্ঞ
allergists,এলার্জি বিশেষজ্ঞ
allergy,এলার্জি
alleviate,উপশম করা
alleviated,প্রশমিত
alleviates,উপশম করা
alleviating,নির্বাপক
alleviation,উপশম
alleviations,সহজকরণ
alleviative,উপশমক
allevition,লাঘব
alley,সরু গলি
alleys,বীথিকা
alleyway,সরু গলি
alleyways,কুঁজগলি
alliance,জোট
alliances,জোট
allied,স্বজাতীয়
allies,জোটের
alligate,জোতা
alligation,বিমিশ্র প্রক্রিয়া
alligations,বিমিশ্র প্রক্রিয়া
alligator,নক্র
alligators,বৃহৎ কুম্ভীরবিশেষ
alliterate,অনুপ্রাস সৃষ্টি করা
alliteration,অনুপ্রাস
alliterations,অনুপ্রাস
alliterative,অনুপ্রাসধর্মী
allium,গ্রাফিক্স
allocable,বণ্টনযোগ্য
allocate,বরাদ্দ করা
allocated,বরাদ্দ
allocates,বরাদ্দ
allocating,বণ্টন
allocation,বরাদ্দ
allocations,বরাদ্দ
allocator,বরাদ্দকরণ
allogamy,উদ্ভিদ্তাত্বিক প্রতিভাষা
allopath,বিসদৃশ - বিধানানুসারী চিকিত্সক
allopathic,অ্যালপেথি সম্বন্ধীয়
allopathist,বিসদৃশ - বিধানানুসারী চিকিত্সক
allopathists,বিসদৃশ-বিধানানুসারী চিকিত্সক
allopaths,বিসদৃশ-বিধানানুসারী চিকিত্সক
allopathy,অ্যালোপ্যাথি
allopatric,এলোপেট্রিক
allophone,কবিতা দুই কবির স্মরণে
allophones,স্বপ্নগুলি কি মিথ্যে
allopurinol,ভবিষ্যতে প্রেমের বোধ
allot,বাঁটা
allotment,আবণ্টন
allotments,আবণ্টন
allotropes,অ্যালোট্রোপ
allots,স্থির করে
allotted,বরাদ্দ
allottee,অংশভাক্
allottees,ত্বকীর বাবা নারায়ণগঞ্জের
allotting,বরাদ্দে
allout,সার্বিক
allow,অনুমতি দেওয়া
allow entrance,ঢুকা
allow of,মানিয়া লত্তয়া
allowable,সম্ভবপর
allowance,ভাতা
allowance of money,অধিদেয়
allowances,তৃপ্তি
allowed,অনুমতি
allowing,অনুমতি
allows,পারবেন
alloy,খাদ
alloy metal,মিশ্র ধাতু
alloyed,খাদ মেশান
alloying,ক্রোড়পত্র
alloys,করতোয়া
allozyme,ঐতিহ্য
allright,ঠিক আছে!
alls,প্রত্যেক ব্যক্তি
allude,উল্লেখ করা
alluded,উদ্দিষ্ট
alludes,পরোক্ষভাবে উল্লেখ করা
alluding,পরোক্ষভাবে উল্লেখ করা
allure,মোহন
allured,প্রলুব্ধ
allurement,লোভ
allurements,ভোগ্য
allurer,সম্মোহনকারী
allures,প্রতিজ্ঞা
alluring,লোভনীয়
allusion,ইশারা
allusions,ইঙ্গিত
allusive,ইঙ্গিতপূর্ণ
allusiveness,উল্লেখবহুলতা
alluvia,পলি পড়িয়া সৃষ্ট জমি
alluvial,পাললিক
alluvian,পলিজ
alluvion,পলি
alluvium,পলি
alluviums,পলি পড়িয়া সৃষ্ট জমি
ally,মিত্র
allying,বিবাহসূত্রে আবদ্ধ হত্তয়া
allyou,allyou কি
alma,কারো
almagest,সহজ পর্যবেক্ষণের ধাপ
almanac,বর্ষপঞ্জি
almanack,বর্ষপঞ্জী
almanacs,বর্ষপঁজি
almightily,জোরে
almightiness,ভাগিদার
almighty,সর্বশক্তিমান
almirah,আলমারি
almond,বাদাম
almond-shaped,বাদামী
almonds,কাজুবাদাম
almoner,ভিক্ষাদাতা
almoners,ভিক্ষারণ্টক
almost,প্রায়
alms,ভিক্ষা
alms-house,অনাথাশ্রম
almsfolk,ভিখিরি
almshouse,অনাথাশ্রম
almshouses,আলমসহাউসেস্
almsman,ভিখারি
almsmen,ভিখারি
alnico,চুম্বক
aloe,ঘৃতকুমারী
aloes,জোলাপ
aloevera,ঘৃতকুমারী
aloft,শূন্যে
alogia,এলোগিয়া
alogical,যুক্তিহীন
alone,একা
aloneness,একাকিত্ব
alonenesses,একাকীত্ব
along,বরাবর
along with,সহ
alongside,পাশাপাশি
aloof,নির্লিপ্ত
aloofness,উদাসীনতা
alopecia,টাক
alopecoid,অকচ
aloud,সশব্দে
alp,গিরিশৃঙ্গ
alpaca,আলপাকা
alpacas,পেরুদেশীয় মেষবিশেষ
alpenstock,পর্বত অভিযাত্রীদের লোহার আগাওয়ালা বা লৌহাগ্র লাঠি
alpha,আরম্ভ
alphabet,বর্ণমালা
alphabetic,বর্ণানুক্রমিক
alphabetical,বর্ণানুক্রমিক
alphabetically,বর্ণানুক্রমে
alphabetize,বর্ণানুক্রমে করা
alphabetized,বর্ণানুক্রমে করা
alphabetizes,বর্ণানুক্রমে করা
alphabetizing,বর্ণানুক্রমে করা
alphabets,বর্ণমালা
alphametic,অ্যালফামেটিক
alphametics,শব্দের
alphanumeric,আলফানিউমেরিক
alphas,আরম্ভ
alpine,অত্যুচ্চ
alpines,অ্যালপাইন
alpinist,শৈলারোহী
alpinists,পর্বতারোহী
alps,আল্প্স
already,ইতিমধ্যে
alright,ঠিক হ্যায়
alright!,আচ্ছা বেশ!
als,আল
alsatian,একজাতীয় কুকুর
also,এছাড়াও
alt,জন্য alt
altar,বেদি
altarpiece,গির্জার বেদির পিছনে আঁকা ছবি
altars,বেদি
alter,পরিবর্তন করা
alterability,চারিত্রিক
alterable,পরিবর্তনীয়
alterant,পরিবর্তনীয়
alteration,নড়চড়
alterations,পরিবর্তন
alterative,পরিবর্তনীয়
alteratives,পরিবর্তনসাধক পদার্থ
altercate,ঝগড়াঝাঁটি করা
altercated,তর্কাতর্কি করা
altercates,তর্কাতর্কি করা
altercating,তর্কাতর্কি করা
altercation,ঝগড়াঝাঁটি
altercations,তর্ক
altered,রদবদল
alterer,পরিবর্তন
altering,পরিবর্তনকারী
alternate,একান্তর
alternated,পর্যায়ান্বিত হত্তয়া
alternately,অথবা
alternates,পর্যায়ান্বিত হত্তয়া
alternating,পর্যায়ক্রমে
alternation,পরিক্রমণ
alternations,পর্যায়ানুবৃত্তি
alternative,বিকল্প
alternatively,অন্যথায়
alternatives,বিকল্প
alternator,পর্যাবৃত্ত বিদ্যুত্প্রবাহের উত্পাদকযন্ত্র
alternators,পর্যাবৃত্ত বিদ্যুত্প্রবাহের উত্পাদকযন্ত্র
alters,পরিবর্তিত
although,যদিও
altimeter,উচ্চতামাপক যন্ত্র
altimeters,উচ্চতা মাপিবার যন্ত্রবিশেষ
altimetry,উচ্চতামিতি
altitude,খাড়াই
altitudes,টিলা
altitudinal,অনুলংব
alto,সরু
altogether,পুরাপুরি
altogethers,লেলিয়ে
altos,উচ্চ
altruism,পরার্থপরতা
altruisms,পরার্থপরতার
altruist,পরার্থবাদী
altruistic,কল্যাণময়
altruists,পরার্থবাদীদের
alum,ফটকিরি
alumin,অ্যালুমিনিয়াম
alumina,অ্যালুমিনিয়াম ও অক্সিজেনের রাসায়নিক যৌগ
aluminium,অ্যালুমিনিয়াম
aluminized,অ্যালুমিনিয়াম
aluminosilicate,অ্যালুমিনো
aluminous,ফটকিরি - ঘটিত
aluminum,অ্যালুমিনিয়াম
aluminums,অ্যালুমিনিয়াম
alumni,প্রাক্তন ছাত্র
alumnus,প্রাক্তন ছাত্র
alums,ফটকিরি
alveolar,ঝাঁঝর
alveole,ক্ষুদ্র রন্ধ্র
alveoles,ক্ষুদ্র রন্ধ্র
alveoli,ক্ষুদ্র রন্ধ্র
alveolus,ক্ষুদ্র ছিদ্র
always,সবসময়
am,হত্তয়া
ama,আবুল মাল আবদুল
amain,যথাশক্তি
amalgam,মিশ্রণ
amalgamate,জোড়া লাগানো
amalgamated,শওকত
amalgamates,পারদের সহিত মিশ্রিত করা
amalgamating,পারদের সহিত মিশ্রিত করা
amalgamation,সংমিশ্রণ
amalgamations,সংযোগসাধন
amalgams,পারদমিশ্র
amant,প্রেমিক
amanuenses,যে ব্যক্তি শুনিয়া লেখে
amanuensis,শ্রুতিলেখক
amar,িচ্্্্্ু্
amaranth,পারিজাত
amaranthine,চির - অম্লান
amaranths,চির-অম্লান রক্তবর্ণ কল্পপুষ্পবিশেষ
amaryllis,রজনীগন্ধা জাতীয় ফুলের গাছ
amaryllises,রজনীগন্ধা-গোত্রীয় বিভিন্ন বৃক্ষ
amass,জমানো
amassed,জড়
amasses,রাশীকৃত করা
amassing,রাশীকৃত করা
amassment,সঁচয়
amassments,সঁচয়
amateur,অপেশাদার
amateurish,অপেশাদারী
amateurishness,দেশকে মুক্ত
amateurism,পল্লবগ্রাহিতা
amateurs,অপেশাদার
amative,প্রেমপরায়ণ
amatively,প্রেমপরায়নভাবে
amatol,বিস্ফোরক পদার্থ
amatory,স্নেহশীল
amaze,বিস্ময়াবিষ্ট
amazed,বিস্মিত
amazement,আশ্চর্য
amazements,বিস্ময়
amazes,বিস্ময়াভিভূত করা
amazing,আশ্চর্যজনক
amazingly,হয় amazingly
amazon,নারী - সৈনিক
amazonian,রণরঙ্গিণী
amazonians,আলম
amazons,সিদিয়াদেশের পৌরাণিক রণপ্রি়া নারীজাতি
ambari,আমবাড়ী
ambassador,রাষ্ট্রদূত
ambassadorial,রাষ্ট্রদূতসংক্রান্ত
ambassadors,দূত
ambassadress,মহিলা রাষ্ট্রদূত
ambassadresses,মহিলা রাষ্ট্রদূত
ambassage,প্রতিনিধি
amber,অ্যাম্বার
ambergris,অম্বর
ambers,অ্যাম্বার
ambiance,পরিবেশ
ambiances,হচ্ছে পরিবেশের
ambidexter,সব্যসাচী
ambidexterous,সব্যসাচীর ন্যায় গুণবিশিষ্ট
ambidexters,সব্যসাচী
ambidextrous,সব্যসাচী
ambience,বাতাবরণ
ambiences,পরিবেশ
ambient,পরিবেষ্টনকারী
ambients,চৌহদ্দি
ambiguities,অস্পষ্টতা
ambiguity,অস্পষ্টতা
ambiguous,দ্ব্যর্থক
ambit,পরিধি
ambition,উচ্চাকাঙ্ক্ষা
ambitioned,উচ্চাকাঙ্খা
ambitioning,উচ্চাকাঙ্খা
ambitions,উচ্চাকাঙ্ক্ষা
ambitious,উচ্চাভিলাষী
ambits,চৌহদ্দি
ambivalence,বিরোধ
ambivalences,একই ব্যক্তির যুগপৎ বিদ্যমানতা
ambivalency,উভবল
ambivalent,বিরোধী
ambivalently,প্রধানমন্ত্রী টনি ব্লেয়ার
ambiversion,মনের বহির্মুখী ও অন্তর্মুখী প্রবণতার ভারসাম্য
amble,স্বচ্ছন্দগতি
ambled,স্বচ্ছন্দগতিতে চলা
ambler,অশ্ব
amblers,অশ্ব
ambles,স্বচ্ছন্দগতিতে চলা
ambling,স্বচ্ছন্দগতিতে চলা
ambo,উভয়
ambrosia,অমিয়
ambrosial,মধুর
ambrotype,এমব্রোটাইপ
ambulance,অ্যাম্বুলেন্স
ambulances,অ্যাম্বুলেন্স
ambulant,ভ্রাম্যমাণ
ambulate,টহল দেত্তয়া
ambulated,টহল দেত্তয়া
ambulates,টহল দেত্তয়া
ambulating,টহল দেত্তয়া
ambulator,অস্থাবর
ambulatory,চলিষ্ণু
